Dates,Summary,Precip Type,Temperature,Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Daily Summary
2017-03-03,Partly Cloudy,rain,9.5,0.89,14.1,251,15.8,1015.13,Partly cloudy throughout the day.
2017-03-04,Partly Cloudy,rain,9.4,,14.3,259,15.8,1015.63,Partly cloudy throughout the day.
2017-03-05,Mostly Cloudy,rain,9.4,0.89,3.9,204,15.0,1015.94,Partly cloudy throughout the day.
2017-03-06,Partly Cloudy,rain,,0.83,14.1,269,15.8,1016.41,Partly cloudy throughout the day.
2017-03-07,Mostly Cloudy,rain,8.8,0.83,,259,15.8,1016.51,Partly cloudy throughout the day.
2017-03-08,Partly Cloudy,rain,9.2,0.85,14.0,258,15.0,1016.66,Partly cloudy throughout the day.
2017-03-09,Partly Cloudy,rain,,0.95,12.4,259,10.0,1016.72,Partly cloudy throughout the day.
2017-03-10,Partly Cloudy,rain,8.8,0.89,14.2,260,10.0,1016.84,Partly cloudy throughout the day.
2017-03-11,Partly Cloudy,rain,10.8,0.82,11.3,259,10.0,1017.37,Partly cloudy throughout the day.
2017-03-12,Partly Cloudy,rain,,0.72,12.5,279,10.0,1017.22,Partly cloudy throughout the day.
2017-03-13,Partly Cloudy,rain,16.0,0.67,17.6,290,11.2,1017.42,Partly cloudy throughout the day.
2017-03-14,Partly Cloudy,rain,17.1,0.54,19.8,316,11.4,1017.74,Partly cloudy throughout the day.
2017-03-15,Partly Cloudy,rain,17.8,0.55,21.9,281,11.3,1017.59,Partly cloudy throughout the day.
2017-03-16,Partly Cloudy,rain,17.3,0.51,20.7,289,11.3,1017.48,Partly cloudy throughout the day.
2017-03-17,Partly Cloudy,rain,18.9,0.47,15.4,262,11.4,1017.17,Partly cloudy throughout the day.
2017-03-18,Partly Cloudy,rain,,0.46,10.4,288,11.3,1016.47,Partly cloudy throughout the day.
2017-03-19,Partly Cloudy,rain,15.4,0.6,14.4,251,11.3,1016.15,Partly cloudy throughout the day.
2017-03-20,Mostly Cloudy,rain,15.6,0.63,11.2,230,11.4,1016.17,Partly cloudy throughout the day.
2017-03-21,Mostly Cloudy,rain,14.3,0.69,8.5,163,11.2,1015.82,Partly cloudy throughout the day.
2017-03-22,Mostly Cloudy,rain,13.1,0.7,7.6,139,11.2,1015.83,Partly cloudy throughout the day.
2017-03-23,Mostly Cloudy,rain,11.5,0.77,7.4,147,11.0,1015.85,Partly cloudy throughout the day.
2017-03-24,Mostly Cloudy,rain,11.2,0.76,4.9,160,10.0,1015.77,Partly cloudy throughout the day.
2017-03-25,Partly Cloudy,rain,10.1,0.79,6.6,163,15.8,1015.4,Partly cloudy throughout the day.
2017-03-26,Mostly Cloudy,rain,10.2,0.77,3.9,152,15.0,1015.51,Partly cloudy throughout the day.
2017-03-27,Partly Cloudy,rain,10.4,0.62,17.0,150,15.8,1014.4,Mostly cloudy throughout the day.
2017-03-28,Partly Cloudy,rain,9.9,0.66,17.2,149,15.8,1014.2,Mostly cloudy throughout the day.
2017-03-29,Mostly Cloudy,rain,11.2,0.8,10.8,163,15.0,1008.71,Mostly cloudy throughout the day.
2017-03-30,Partly Cloudy,rain,7.2,0.79,11.1,180,15.8,1014.47,Mostly cloudy throughout the day.
2017-03-31,Partly Cloudy,rain,6.1,0.82,6.6,161,15.8,1014.45,Mostly cloudy throughout the day.
2017-04-01,Partly Cloudy,rain,6.8,0.83,13.0,135,15.0,1014.49,Mostly cloudy throughout the day.
2017-04-02,Mostly Cloudy,rain,7.3,0.85,11.2,141,6.2,1014.52,Mostly cloudy throughout the day.
2017-04-03,Mostly Cloudy,rain,7.8,0.83,12.8,150,8.1,1014.16,Mostly cloudy throughout the day.
2017-04-04,Mostly Cloudy,rain,9.9,0.78,13.7,160,10.0,1014.24,Mostly cloudy throughout the day.
2017-04-05,Mostly Cloudy,rain,12.2,0.72,15.6,150,10.0,1014.25,Mostly cloudy throughout the day.
2017-04-06,Mostly Cloudy,rain,,0.61,17.5,151,10.0,1013.96,Mostly cloudy throughout the day.
2017-04-07,Mostly Cloudy,rain,17.4,0.52,22.8,169,10.0,1013.85,Mostly cloudy throughout the day.
2017-04-08,Mostly Cloudy,rain,19.0,0.46,23.9,169,10.0,1013.04,Mostly cloudy throughout the day.
2017-04-09,Mostly Cloudy,rain,20.0,0.4,28.4,170,10.0,1012.22,Mostly cloudy throughout the day.
2017-04-10,Mostly Cloudy,rain,,0.4,26.9,187,10.4,1011.44,Mostly cloudy throughout the day.
2017-04-11,Mostly Cloudy,rain,21.2,0.37,25.7,179,10.0,1010.52,Mostly cloudy throughout the day.
2017-04-12,Mostly Cloudy,rain,20.1,0.4,25.3,162,10.0,1009.83,Mostly cloudy throughout the day.
2017-04-13,Mostly Cloudy,rain,20.2,0.36,18.1,161,10.4,1009.26,Mostly cloudy throughout the day.
2017-04-14,Mostly Cloudy,rain,20.0,0.43,23.4,160,10.0,1008.76,Mostly cloudy throughout the day.
2017-04-15,Mostly Cloudy,rain,,0.5,20.0,150,11.2,1008.36,Mostly cloudy throughout the day.
2017-04-16,Mostly Cloudy,rain,16.1,0.53,21.4,149,10.0,1008.11,Mostly cloudy throughout the day.
2017-04-17,Mostly Cloudy,rain,15.0,0.55,21.4,159,10.0,1008.15,Mostly cloudy throughout the day.
2017-04-18,Overcast,rain,14.4,0.58,20.0,159,15.8,1007.85,Mostly cloudy throughout the day.
2017-04-19,Overcast,rain,,0.59,16.5,168,15.0,1007.89,Mostly cloudy throughout the day.
2017-04-20,Overcast,rain,13.8,0.6,17.1,160,15.8,1007.36,Foggy in the evening.
2017-04-21,Overcast,rain,,0.63,14.4,160,15.8,1007.26,Foggy in the evening.
2017-04-22,Overcast,rain,8.6,0.87,22.0,32,6.7,1005.1,Foggy in the evening.
2017-04-23,Overcast,rain,11.3,0.83,11.3,152,15.8,1007.01,Foggy in the evening.
2017-04-24,Overcast,rain,11.2,0.89,11.2,180,9.9,1006.73,Foggy in the evening.
2017-04-25,Overcast,rain,10.7,0.95,10.4,161,6.7,1006.59,Foggy in the evening.
2017-04-26,Mostly Cloudy,rain,11.1,0.93,12.0,140,6.0,1006.34,Foggy in the evening.
2017-04-27,Mostly Cloudy,rain,11.1,0.93,9.2,103,10.8,1006.09,Foggy in the evening.
2017-04-28,Partly Cloudy,rain,12.2,0.82,9.9,113,10.7,1005.97,Foggy in the evening.
2017-04-29,Partly Cloudy,rain,12.8,0.79,13.8,129,10.8,1005.63,Foggy in the evening.
2017-04-30,Partly Cloudy,rain,13.8,0.84,9.1,159,10.8,1005.83,Foggy in the evening.
2017-05-01,Partly Cloudy,rain,16.2,0.73,0.6,207,10.8,1005.97,Foggy in the evening.
2017-05-02,Mostly Cloudy,rain,17.5,0.67,0.7,153,10.9,1005.64,Foggy in the evening.
2017-05-03,Mostly Cloudy,rain,17.4,0.67,3.9,4,10.9,1005.2,Foggy in the evening.
2017-05-04,Mostly Cloudy,rain,17.4,0.71,7.8,341,11.1,1005.1,Foggy in the evening.
2017-05-05,Mostly Cloudy,rain,17.2,0.74,15.6,15,10.9,1004.65,Foggy in the evening.
2017-05-06,Mostly Cloudy,rain,15.6,0.81,23.7,348,10.9,1004.04,Foggy in the evening.
2017-05-07,Overcast,rain,13.6,0.9,21.0,321,7.6,1004.08,Foggy in the evening.
2017-05-08,Foggy,rain,10.9,0.86,22.4,311,2.7,1004.61,Foggy in the evening.
2017-05-09,Foggy,rain,8.8,0.99,26.5,339,2.7,1004.99,Foggy in the evening.
2017-05-10,Overcast,rain,9.0,0.93,23.2,340,3.8,1004.85,Foggy in the evening.
2017-05-11,Overcast,rain,8.2,0.96,25.4,330,4.5,1004.96,Foggy in the evening.
2017-05-12,Overcast,rain,7.7,0.96,28.1,339,4.4,1005.14,Foggy in the evening.
2017-05-13,Overcast,rain,7.8,0.96,19.3,339,5.7,1005.05,Foggy in the evening.
2017-05-14,Foggy,rain,,0.96,20.4,341,3.1,1004.8,Foggy overnight and breezy in the morning.
2017-05-15,Foggy,rain,8.2,0.93,27.9,19,3.2,1004.89,Foggy overnight and breezy in the morning.
2017-05-16,Mostly Cloudy,rain,7.3,0.82,6.7,277,14.1,1007,Foggy overnight and breezy in the morning.
2017-05-17,Overcast,rain,7.6,0.93,14.9,9,6.1,1004.3,Foggy overnight and breezy in the morning.
2017-05-18,Overcast,rain,6.6,0.93,25.0,0,6.1,1003.68,Foggy overnight and breezy in the morning.
2017-05-19,Overcast,rain,6.7,0.93,19.8,350,6.2,1003.86,Foggy overnight and breezy in the morning.
2017-05-20,Overcast,rain,,0.93,28.1,349,8.0,1003.57,Foggy overnight and breezy in the morning.
2017-05-21,Overcast,rain,6.1,0.93,28.0,348,6.3,1003.96,Foggy overnight and breezy in the morning.
2017-05-22,Breezy and Mostly Cloudy,rain,6.1,0.93,30.9,349,10.5,1004.1,Foggy overnight and breezy in the morning.
2017-05-23,Breezy and Mostly Cloudy,rain,,0.8,32.2,349,11.2,1004.26,Foggy overnight and breezy in the morning.
2017-05-24,Overcast,rain,7.2,0.86,26.5,339,11.3,1004.18,Foggy overnight and breezy in the morning.
2017-05-25,Mostly Cloudy,rain,7.6,0.84,28.3,339,10.5,1004.23,Foggy overnight and breezy in the morning.
2017-05-26,Mostly Cloudy,rain,8.9,0.77,29.8,348,11.3,1004.47,Foggy overnight and breezy in the morning.
2017-05-27,Mostly Cloudy,rain,10.0,0.71,28.5,339,11.3,1004.52,Foggy overnight and breezy in the morning.
2017-05-28,Mostly Cloudy,rain,9.9,0.71,28.5,338,11.1,1004.29,Foggy overnight and breezy in the morning.
2017-05-29,Mostly Cloudy,rain,11.1,0.71,25.7,320,11.3,1003.93,Foggy overnight and breezy in the morning.
2017-05-30,Overcast,rain,10.1,0.76,25.3,311,11.3,1004,Foggy overnight and breezy in the morning.
2017-05-31,Overcast,rain,11.0,0.66,21.4,311,10.0,1004.3,Foggy overnight and breezy in the morning.
2017-06-01,Overcast,rain,10.7,0.7,17.9,310,14.9,1004,Foggy overnight and breezy in the morning.
2017-06-02,Overcast,rain,10.1,0.7,15.2,328,10.0,1004.39,Foggy overnight and breezy in the morning.
2017-06-03,Mostly Cloudy,rain,9.9,0.66,15.7,348,11.0,1005.48,Foggy overnight and breezy in the morning.
2017-06-04,Overcast,rain,8.8,0.71,12.4,20,10.0,1005.89,Foggy overnight and breezy in the morning.
2017-06-05,Mostly Cloudy,rain,7.8,0.72,13.9,28,15.8,1006.37,Foggy overnight and breezy in the morning.
2017-06-06,Overcast,rain,7.9,0.72,9.8,11,15.0,1006.56,Foggy overnight and breezy in the morning.
2017-06-07,Mostly Cloudy,rain,7.3,0.75,6.7,326,15.9,1007.07,Overcast throughout the day.
2017-06-08,Overcast,rain,7.2,0.75,7.1,309,15.9,1007.37,Overcast throughout the day.
2017-06-09,Partly Cloudy,rain,5.4,0.88,3.7,193,10.0,1012.23,Overcast throughout the day.
2017-06-10,Overcast,rain,7.2,0.76,14.5,273,15.8,1007.28,Overcast throughout the day.
2017-06-11,Overcast,rain,6.7,0.7,20.5,300,15.8,1007.18,Overcast throughout the day.
2017-06-12,Overcast,rain,6.2,0.73,19.3,309,15.0,1007.39,Overcast throughout the day.
2017-06-13,Overcast,rain,6.1,0.76,17.4,300,10.0,1007.67,Overcast throughout the day.
2017-06-14,Overcast,rain,6.1,0.76,20.4,300,10.0,1007.98,Overcast throughout the day.
2017-06-15,Overcast,rain,6.2,0.76,17.0,307,10.0,1008.57,Overcast throughout the day.
2017-06-16,Overcast,rain,7.2,0.71,20.5,319,10.0,1008.87,Overcast throughout the day.
2017-06-17,Overcast,rain,7.3,0.73,17.6,328,10.0,1009.44,Overcast throughout the day.
2017-06-18,Overcast,rain,7.4,0.72,14.4,318,10.0,1010.03,Overcast throughout the day.
2017-06-19,Overcast,rain,8.0,0.7,10.8,321,10.0,1010.22,Overcast throughout the day.
2017-06-20,Overcast,rain,8.0,0.7,4.9,349,10.0,1010.39,Overcast throughout the day.
2017-06-21,Overcast,rain,9.1,0.65,2.4,348,10.0,1010.24,Overcast throughout the day.
2017-06-22,Overcast,rain,9.0,0.62,0.3,243,10.0,1010,Overcast throughout the day.
2017-06-23,Overcast,rain,9.0,0.65,3.3,177,11.2,1009.98,Overcast throughout the day.
2017-06-24,Overcast,rain,,0.65,3.0,170,11.0,1010.05,Overcast throughout the day.
2017-06-25,Overcast,rain,9.1,0.7,10.5,172,10.0,1010.1,Overcast throughout the day.
2017-06-26,Overcast,rain,8.0,0.75,7.3,172,10.0,1010.39,Overcast throughout the day.
2017-06-27,Overcast,rain,8.1,0.75,9.5,150,10.0,1010.91,Overcast throughout the day.
2017-06-28,Overcast,rain,7.9,0.82,10.0,142,10.0,1011.32,Overcast throughout the day.
2017-06-29,Overcast,rain,,0.83,13.7,141,12.0,1011.61,Overcast throughout the day.
2017-06-30,Mostly Cloudy,rain,7.3,0.84,11.5,141,14.2,1011.97,Overcast throughout the day.
2017-07-01,Mostly Cloudy,rain,6.6,0.85,12.7,142,14.9,1012.22,Mostly cloudy throughout the day.
2017-07-02,Partly Cloudy,rain,6.1,0.88,12.9,130,14.9,1012.74,Mostly cloudy throughout the day.
2017-07-03,Partly Cloudy,rain,8.3,0.88,0.7,359,15.0,1015.35,Mostly cloudy throughout the day.
2017-07-04,Mostly Cloudy,rain,5.2,0.91,5.5,166,10.0,1013.29,Mostly cloudy throughout the day.
2017-07-05,Mostly Cloudy,rain,,0.94,5.2,145,10.0,1013.39,Mostly cloudy throughout the day.
2017-07-06,Mostly Cloudy,rain,4.9,0.93,5.6,170,5.9,1013.45,Mostly cloudy throughout the day.
2017-07-07,Foggy,rain,5.2,0.92,4.8,178,1.2,1013.4,Mostly cloudy throughout the day.
2017-07-08,Overcast,rain,6.3,0.92,7.9,223,7.2,1013.81,Mostly cloudy throughout the day.
2017-07-09,Mostly Cloudy,rain,7.8,0.87,9.8,240,10.7,1014.7,Mostly cloudy throughout the day.
2017-07-10,Mostly Cloudy,rain,,0.76,9.7,231,11.2,1014.67,Mostly cloudy throughout the day.
2017-07-11,Mostly Cloudy,rain,12.2,0.66,14.5,230,10.0,1014.66,Mostly cloudy throughout the day.
2017-07-12,Mostly Cloudy,rain,12.7,0.63,20.3,214,11.0,1014.8,Mostly cloudy throughout the day.
2017-07-13,Partly Cloudy,rain,13.9,0.58,23.6,222,11.3,1014.47,Mostly cloudy throughout the day.
2017-07-14,Partly Cloudy,rain,15.1,0.59,22.3,241,11.3,1014.16,Mostly cloudy throughout the day.
2017-07-15,Mostly Cloudy,rain,15.2,0.5,14.7,235,11.4,1014.07,Mostly cloudy throughout the day.
2017-07-16,Partly Cloudy,rain,16.2,0.44,14.5,238,11.3,1013.34,Mostly cloudy throughout the day.
2017-07-17,Partly Cloudy,rain,16.3,0.55,14.7,211,11.3,1012.72,Mostly cloudy throughout the day.
2017-07-18,Partly Cloudy,rain,16.3,0.5,19.6,221,11.4,1012.38,Mostly cloudy throughout the day.
2017-07-19,Partly Cloudy,rain,16.1,0.56,14.8,215,11.1,1012.38,Mostly cloudy throughout the day.
2017-07-20,Partly Cloudy,rain,13.0,0.68,12.0,224,11.3,1012.72,Mostly cloudy throughout the day.
2017-07-21,Mostly Cloudy,rain,13.9,0.64,11.6,231,11.4,1013.42,Mostly cloudy throughout the day.
2017-07-22,Mostly Cloudy,rain,12.8,0.69,14.2,358,10.0,1014.41,Mostly cloudy throughout the day.
2017-07-23,Mostly Cloudy,rain,12.1,0.72,11.3,8,15.9,1014.89,Mostly cloudy throughout the day.
2017-07-24,Mostly Cloudy,rain,10.7,0.81,5.8,59,15.0,1014.91,Mostly cloudy throughout the day.
2017-07-25,Mostly Cloudy,rain,10.4,0.83,2.6,63,15.9,1014.75,Mostly cloudy throughout the day.
2017-07-26,Mostly Cloudy,rain,9.8,0.8,5.3,65,15.9,1015.55,Mostly cloudy throughout the day.
2017-07-27,Mostly Cloudy,rain,11.0,0.74,11.4,146,15.0,1015.7,Mostly cloudy throughout the day.
2017-07-28,Mostly Cloudy,rain,7.1,0.93,3.7,305,14.9,1016.43,Mostly cloudy throughout the day.
2017-07-29,Mostly Cloudy,rain,7.6,0.89,10.9,327,14.9,1016.56,Mostly cloudy throughout the day.
2017-07-30,Mostly Cloudy,rain,7.6,0.86,6.5,319,13.4,1017.15,Mostly cloudy throughout the day.
2017-07-31,Mostly Cloudy,rain,7.0,0.86,11.4,271,10.0,1017.37,Mostly cloudy throughout the day.
2017-08-01,Partly Cloudy,rain,8.6,0.84,9.7,297,10.0,1018.25,Mostly cloudy throughout the day.
2017-08-02,Partly Cloudy,rain,9.6,0.84,16.0,289,10.0,1019.24,Mostly cloudy throughout the day.
2017-08-03,Partly Cloudy,rain,12.1,0.72,13.2,310,10.0,1019.83,Mostly cloudy throughout the day.
2017-08-04,Partly Cloudy,rain,12.8,0.71,13.2,301,11.2,1020.51,Mostly cloudy throughout the day.
2017-08-05,Partly Cloudy,rain,13.8,0.65,9.7,307,11.4,1020.91,Mostly cloudy throughout the day.
2017-08-06,Partly Cloudy,rain,16.0,0.48,11.2,307,11.3,1020.6,Mostly cloudy throughout the day.
2017-08-07,Partly Cloudy,rain,17.1,0.47,12.7,308,11.3,1020.39,Mostly cloudy throughout the day.
2017-08-08,Partly Cloudy,rain,17.1,0.43,10.6,279,11.4,1020.34,Mostly cloudy throughout the day.
2017-08-09,Mostly Cloudy,rain,17.8,0.4,8.0,272,11.2,1019.7,Mostly cloudy throughout the day.
2017-08-10,Mostly Cloudy,rain,17.8,0.37,2.6,351,11.2,1018.89,Mostly cloudy throughout the day.
2017-08-11,Mostly Cloudy,rain,17.8,0.43,11.0,175,10.4,1018.48,Mostly cloudy throughout the day.
2017-08-12,Mostly Cloudy,rain,16.2,0.52,9.2,172,10.0,1017.87,Mostly cloudy throughout the day.
2017-08-13,Mostly Cloudy,rain,14.0,0.63,9.2,160,10.0,1017.56,Mostly cloudy throughout the day.
2017-08-14,Mostly Cloudy,rain,13.1,0.67,9.3,138,10.0,1017.38,Mostly cloudy throughout the day.
2017-08-15,Mostly Cloudy,rain,12.3,0.72,9.5,141,10.0,1017.58,Mostly cloudy throughout the day.
2017-08-16,Overcast,rain,12.8,0.66,11.1,141,15.8,1017.65,Mostly cloudy throughout the day.
2017-08-17,Overcast,rain,12.7,0.67,13.4,149,15.0,1017.36,Mostly cloudy throughout the day.
2017-08-18,Overcast,rain,12.3,0.69,14.1,151,15.8,1016.8,Mostly cloudy throughout the day.
2017-08-19,Overcast,rain,11.7,0.71,11.3,158,15.8,1016.64,Mostly cloudy throughout the day.
2017-08-20,Partly Cloudy,rain,10.8,0.86,9.2,259,14.2,1013.13,Mostly cloudy throughout the day.
2017-08-21,Overcast,rain,12.2,0.59,14.2,141,15.8,1014.79,Mostly cloudy throughout the day.
2017-08-22,Overcast,rain,12.2,0.6,14.3,151,15.8,1014.25,Mostly cloudy throughout the day.
2017-08-23,Overcast,rain,11.7,0.68,13.8,152,15.0,1013.95,Mostly cloudy throughout the day.
2017-08-24,Overcast,rain,11.2,0.77,14.0,132,10.0,1013.63,Mostly cloudy throughout the day.
2017-08-25,Mostly Cloudy,rain,11.1,0.77,15.5,150,10.0,1013.27,Mostly cloudy throughout the day.
2017-08-26,Mostly Cloudy,rain,11.4,0.77,13.9,163,10.4,1013.56,Mostly cloudy throughout the day.
2017-08-27,Mostly Cloudy,rain,13.0,0.81,14.5,209,10.0,1012.85,Mostly cloudy throughout the day.
2017-08-28,Mostly Cloudy,rain,17.2,0.62,25.0,221,11.3,1012.15,Mostly cloudy throughout the day.
2017-08-29,Mostly Cloudy,rain,17.7,0.53,27.4,230,11.4,1011.71,Mostly cloudy throughout the day.
2017-08-30,Overcast,rain,17.8,0.56,22.2,251,11.3,1011.28,Mostly cloudy throughout the day.
2017-08-31,Mostly Cloudy,rain,18.9,0.56,23.5,250,11.3,1010.99,Mostly cloudy throughout the day.
2017-09-01,Overcast,rain,18.7,0.56,19.9,240,11.4,1010.93,Mostly cloudy throughout the day.
2017-09-02,Overcast,rain,,0.56,17.5,243,11.3,1010.7,Mostly cloudy throughout the day.
2017-09-03,Overcast,rain,17.8,0.59,17.7,281,11.3,1010.52,Mostly cloudy throughout the day.
2017-09-04,Mostly Cloudy,rain,17.3,0.57,19.6,295,11.4,1010.69,Mostly cloudy throughout the day.
2017-09-05,Mostly Cloudy,rain,16.1,0.67,21.8,280,11.2,1010.86,Mostly cloudy throughout the day.
2017-09-06,Mostly Cloudy,rain,14.9,0.73,17.3,280,11.2,1011.14,Mostly cloudy throughout the day.
2017-09-07,Mostly Cloudy,rain,13.9,0.78,11.8,279,11.3,1011.64,Mostly cloudy throughout the day.
2017-09-08,Mostly Cloudy,rain,12.8,0.84,11.0,270,11.1,1012.02,Mostly cloudy throughout the day.
2017-09-09,Mostly Cloudy,rain,,0.84,11.1,277,15.7,1012.21,Mostly cloudy throughout the day.
2017-09-10,Mostly Cloudy,rain,12.4,0.86,7.3,239,14.9,1012.33,Mostly cloudy throughout the day.
2017-09-11,Mostly Cloudy,rain,11.2,0.93,6.9,241,15.8,1012.6,Partly cloudy throughout the day.
2017-09-12,Mostly Cloudy,rain,11.7,0.9,11.2,242,15.8,1012.8,Partly cloudy throughout the day.
2017-09-13,Partly Cloudy,rain,9.0,0.95,10.3,266,6.8,1012.66,Partly cloudy throughout the day.
2017-09-14,Mostly Cloudy,rain,10.6,0.93,11.2,278,14.9,1012.32,Partly cloudy throughout the day.
2017-09-15,Mostly Cloudy,rain,10.5,0.89,14.0,269,14.9,1012.33,Partly cloudy throughout the day.
2017-09-16,Mostly Cloudy,rain,10.6,0.87,7.3,269,14.2,1012.55,Partly cloudy throughout the day.
2017-09-17,Mostly Cloudy,rain,10.0,0.89,6.7,297,15.8,1012.71,Partly cloudy throughout the day.
2017-09-18,Mostly Cloudy,rain,11.0,0.86,7.9,307,10.0,1013.01,Partly cloudy throughout the day.
2017-09-19,Partly Cloudy,rain,13.5,0.75,11.9,305,10.0,1013.23,Partly cloudy throughout the day.
